N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,23.772331947730677,78.80128483890533,6.502985292000001,186.991438814667,rice
85,58,41,25.552913152050323,78.30340659962327,7.038096361,217.56157084965145,rice
60,55,44,24.33989666550169,75.04122843106418,7.840207144,248.05975977189883,rice
74,35,40,26.426552887180286,86.06084114136799,6.980400905,258.43494790925104,rice
78,42,42,22.24662546190106,80.51438210577506,7.628472891,279.7916899494862,rice
69,37,42,26.186031256750034,73.78182115836742,7.073453503,232.005505484355,rice
69,55,38,23.24972278719575,87.47713821093018,5.70080568,265.8049532835222,rice
94,53,40,16.07308390328322,74.61148739304049,5.718627177999999,254.01471751644914,rice
89,54,38,29.293476934698106,92.45997355720857,6.685346424,222.2790667136237,rice
68,58,38,18.773782544935635,90.24247620818593,6.336253525,225.0492862758621,rice
91,53,40,28.51478163998292,75.28642964132644,5.386167788,275.52706018493745,rice
90,46,42,21.61443847486036,78.134659846298,7.50283396,235.00026536242436,rice
78,58,44,26.489285313798526,80.01844453894603,5.108681786,266.2221897118015,rice
93,56,36,22.434049444844604,79.15433802058871,6.98435366,189.4841440639867,rice
94,50,37,28.770096454593247,79.4355083153217,6.94801983,201.91136916392156,rice
60,48,39,20.979277184517528,74.12659807585409,7.042299068999999,232.7738786622395,rice
85,38,41,18.486759745800406,89.56741542497471,6.2490506560000005,275.5017548710551,rice
91,35,39,19.966543443529083,82.40462806785003,6.970859754,217.02042142174685,rice
77,38,36,20.1318489310729,90.11549903891498,5.953933276,208.41841693505793,rice
88,35,40,18.844730200616983,77.96276748638486,5.85393208,294.8856898448229,rice
89,45,36,21.501778112290964,76.74575567936431,6.442475375,200.5225830741045,rice
76,40,43,29.469513585576042,79.21230781150992,5.070175667,240.60489563369475,rice
67,59,41,26.869017652783413,87.2707644950599,6.012632591,206.48637274607114,rice
83,41,43,16.719538702530652,75.29774498650505,6.254028451,244.50694061214844,rice
98,47,37,22.229131756661126,81.70399796519982,7.375482851,229.3175928472866,rice
66,53,41,25.153634009260102,71.9876225715934,7.778915154,251.77672773686183,rice
97,59,43,23.561531397784652,79.75880529200603,6.2865001760000006,260.2165488284112,rice
97,50,41,28.566434870653296,78.03935985473221,7.070959995,267.04678946671294,rice
60,49,44,24.67785026834573,89.17491804044484,6.244841491,222.7108817995875,rice
84,51,35,22.989483197197963,87.77771716601816,6.043304899,181.17520236994739,rice
73,57,41,19.23392929522265,78.20282733863883,5.824709117,286.85428239717066,rice
92,35,40,23.59013617319044,79.99132521616252,6.3573893660000005,212.97630143360925,rice
85,37,39,26.56807279517955,92.00530245293729,6.364134967999999,212.74435313860508,rice
98,53,38,15.287524791139386,87.65903946848815,5.01450727,270.7862721190147,rice
88,54,44,21.190796408613856,82.9541067649852,6.149410611,236.52361802486212,rice
95,55,42,25.32761723912115,75.46176603862769,5.950660556,192.70053967707537,rice
99,57,35,26.245048374458086,75.90749122168634,5.960370061,256.0250688373587,rice
95,39,36,25.89585873585147,84.61596795529402,5.561398642,267.4457980099246,rice
60,43,44,22.63301615712047,85.81800111932145,7.416245107000001,283.7170036979105,rice
63,44,41,19.323961396751898,83.90205841770418,5.583370042,237.12874189679417,rice
62,42,36,21.252606633048376,88.96116437501514,6.430010215,247.52191648000547,rice
64,45,43,28.954011825643487,77.44842227182379,5.534878156,201.09834995078182,rice
83,60,36,28.469345000185257,71.52168574968275,6.903985986,214.4440283536622,rice
82,40,40,26.230039631145882,93.14097633135637,6.271478837999999,291.7038554593413,rice
85,52,45,25.765501071154898,90.30974181738603,7.224285503,276.8136485603667,rice
91,35,38,23.14744254042549,71.68814707796258,6.13428721,198.42360973065325,rice
76,49,42,27.551114934983957,92.22068097470448,5.206373153,209.7949744041838,rice
74,39,38,18.948055520674103,86.45630061620687,7.782051312999999,240.99107512037787,rice
79,43,39,20.019380126948892,87.67993626110677,7.062779015,214.552920639245,rice
88,55,45,27.998743173049668,77.85389341914119,7.730367824,249.3502725297089,rice
60,36,43,22.507301920274813,83.98613263247404,5.286203711000001,231.6449882873486,rice
76,60,39,19.37684241073014,75.08497535068284,6.766240045,214.38351778138875,rice
93,56,42,24.502917243217617,82.41206480100944,7.382762603,187.4843266264532,rice
65,60,43,25.77804801686087,78.64787984691586,5.658169482000001,231.11495440419898,rice
95,52,36,23.536434377270222,74.39598124140126,5.543360237999999,267.1317826284306,rice
75,38,39,22.12791477299269,89.27247804945159,6.215109715,264.42058077084835,rice
74,54,38,26.03013989215572,86.9846230966554,7.120272972,215.4466563102681,rice
91,36,45,23.172125568154705,82.29588706691274,5.950647577000001,262.3481001426112,rice
71,46,40,20.57072403219773,73.20489253308322,7.236705436,205.10449709567942,rice
99,55,35,19.267993044604186,75.66109369536937,6.501697816,266.13409624840483,rice
72,40,38,18.621843796129248,78.80404273613993,7.592490617,235.93111962229762,rice
83,58,45,23.691920046791953,85.0120928920002,5.875345751,261.6048783813975,rice
93,58,38,17.931925402622923,75.62512411318426,6.932400225,274.31974091782587,rice
70,36,42,26.502738160173593,87.3850218273536,6.9462098810000015,189.33987336283394,rice
76,47,42,24.48682626519217,84.03589380140163,5.739175027000001,276.50720028799907,rice
99,41,36,20.872025558866397,90.28065495995753,6.738652179,176.78974604854244,rice
99,54,37,18.189925652313402,78.52771771024186,5.5948196260000005,209.1518083381167,rice
86,59,35,24.858973988002163,85.65060150404014,6.946636369,243.00605158868447,rice
69,46,41,21.665491822038526,81.4850779055345,5.012139669,254.23958969714423,rice
91,56,37,20.317857327443228,74.18074214681825,6.363472207999999,251.81162056363738,rice
61,52,41,28.413236298905197,88.12791627322925,6.880431223,185.00902317713556,rice
67,45,38,18.106356067648317,77.71571095346152,7.300410836,265.8398478088576,rice
79,42,37,28.42452819991599,84.4635690965877,6.587918707999999,308.4024765979471,rice
78,43,42,21.19032318580255,82.04231142716785,7.283736617000001,194.9203245465659,rice
75,54,36,21.992858042613022,88.71370995244953,7.023936392,237.5479496499121,rice
97,36,45,21.74893810315712,73.3348976852532,6.939083505,260.6171575850199,rice
67,47,44,28.151997780667596,85.64276824335579,7.868474653,286.139335797639,rice
73,35,38,20.931209894181258,72.49905173293108,5.005306977,175.9623985044016,rice
77,36,37,28.035055099375406,76.50320045683102,6.136131869,179.29805754010673,rice
81,41,38,24.75777756044549,89.91828679132325,7.5240800760000015,215.02807146855307,rice
68,57,43,23.148606265291544,88.9707418803784,5.706943251,183.4120343402583,rice
72,45,35,24.419387137479653,80.2096329682137,5.758506323,176.8308338802994,rice
61,53,43,26.335863601495177,90.8801504808829,6.349606327,227.90730690404442,rice
67,43,39,25.14175358135986,82.28618984932295,5.9999690260000005,178.6987802438093,rice
67,58,39,23.54422794990562,84.71477959025742,5.453592032,227.70347430561029,rice
66,60,38,19.402187141232094,92.5372350013417,6.372576327000001,248.91107778065978,rice
82,43,38,24.623037163834482,76.66731764481655,5.105588355,249.0086330147288,rice
84,50,44,21.62715621698131,81.70201695574198,5.9353444060000005,198.16933602544051,rice
81,53,42,24.699023795892955,90.1844742246693,5.17782304,237.44694245265944,rice
91,50,40,16.623501028960103,83.76311858695831,6.462391607000001,217.99097035119922,rice
93,53,38,30.103915716317857,84.19197088681302,7.069172227,284.3456221549551,rice
90,44,38,28.659842885024936,80.16280041104393,7.473134377,238.35005365511063,rice
81,45,35,27.441780690125718,81.76997004584442,6.158376967000001,203.1272437730171,rice
78,40,38,21.741550449398567,74.81012620811535,7.549873681,257.78740907671715,rice
60,51,36,27.08510132044421,85.4248724546791,6.028321557999999,261.62723650875193,rice
88,46,42,18.367000496734452,77.79073700689656,6.604993475,192.26230638730104,rice
93,47,37,18.559435838251275,78.11910553561819,6.500343222000001,276.9467385036288,rice
60,55,45,19.110410217469028,77.15178869439328,5.935745417000001,283.0578614322278,rice
78,35,44,30.639227425927437,93.48495883979437,7.072655622,182.92938850342932,rice
65,37,40,22.151523504584862,91.66677394398356,5.333322606,173.46579518417477,rice
71,54,16,18.517306929533795,65.69256233218394,5.7499144210000015,93.6892807554591,maize
61,44,17,30.024940101566603,62.15306752414145,6.931756557999999,100.61873244219001,maize
80,43,16,27.69149945867943,67.72603400013428,6.657964753,79.55711626450234,maize
73,58,21,22.319137793074937,64.88488568103469,6.596060648,42.94733955708922,maize
61,38,20,23.111975438447978,57.36839848755138,5.970458434,60.64674725076269,maize
68,41,16,23.42047976544165,60.71158900196983,6.158830619,105.68428226311114,maize
93,41,17,21.809407727782506,59.10207065827284,6.047906679,108.29318116948335,maize
89,60,19,29.641478021595688,73.91928160236796,5.913664501,79.76143793582236,maize
76,44,17,17.520619821727983,55.80574163725458,5.855442401,50.465998282933576,maize
67,60,25,27.73702054624872,61.034452227568295,5.750254943,125.67888006406861,maize
70,44,19,18.498576467337454,74.8166062476822,5.852607099,100.3968638068978,maize
90,49,21,20.773449597949433,66.9788192975744,6.4725232870000005,60.71752747633674,maize
62,52,16,27.07311166461034,52.328528795680754,6.9670577620000005,73.76826823508745,maize
92,44,16,14.588241068183645,59.34082881686748,6.082973754,84.68821956624038,maize
66,54,21,24.12729580621232,53.82099864876755,5.919045532,75.23943149229329,maize
63,58,22,17.32784823307444,62.15616436678357,6.204747652999999,83.70159811291292,maize
70,47,17,28.220165857191652,63.27475660796675,6.600827017,111.74416227081113,maize
61,41,17,22.49745561371156,72.05469129776971,6.021902237000001,78.43860741508084,maize
66,53,19,25.8677798541003,56.27793382295402,6.033550195,57.73375217281679,maize
74,55,19,14.819190463168953,62.0697469212038,6.28886807,83.43171755546012,maize
77,57,21,29.531637795700757,66.5567934213722,6.550563822999999,68.6106920277775,maize
99,50,15,13.984284572410782,71.19329437410842,5.573286437,107.54978541921605,maize
74,56,22,20.421181818915628,72.02413026687861,6.829199275,98.06896134391042,maize
83,45,21,15.001927542803125,53.80484061453164,5.716222912,66.32496734719138,maize
100,48,16,22.834075078625176,67.70061591880985,5.54990242,70.16046055221922,maize
79,51,16,26.419009238088385,75.08276394854914,6.586244581,90.09727019162638,maize
94,39,18,22.49929379883224,61.648960204061275,5.893093135,91.74687156846188,maize
75,49,15,18.046904680230124,79.77019921631857,5.918263801,89.58875322728608,maize
78,48,22,21.063447029468232,55.14771504291425,5.588650585,84.98149977143639,maize
87,54,20,30.601539351479417,70.94902362866388,6.576418207000001,117.71044702285342,maize
87,35,25,25.404620060623696,65.90610021442298,6.178056304,82.19025423219138,maize
63,43,19,16.709022703965356,56.931805015985674,6.641906353,106.76147485552652,maize
84,57,25,24.874160318746302,64.52109967588372,6.489040367,65.95955943017489,maize
64,35,23,23.06739618881955,55.28468210641323,5.680361037999999,81.20161051377309,maize
60,46,22,24.66353961859717,71.7383715462082,6.625404347999999,97.9889787261462,maize
98,44,21,27.23400017316707,74.15055030760769,6.524478032,103.06937297453844,maize
75,56,18,19.875195563703606,66.07864819523527,5.696205468,45.02396226986823,maize
86,55,21,22.78474782150124,63.835263054135865,6.803931519,129.46965363069037,maize
98,35,18,19.824687933385103,78.98756468726715,6.252797547999999,108.03470418931526,maize
76,57,18,17.4386060976991,72.98437002970357,6.092725883,103.55766519108502,maize
99,56,17,23.530614091610182,65.69877371110533,6.234330356,82.55466608586866,maize
